actual,proposed
0.0,132.7151641845703
0.0,133.14968872070312
0.0,132.29380798339844
0.0,132.89093017578125
0.0,132.13490295410156
0.0,129.4251251220703
0.0,127.76097106933594
0.0,123.37084197998047
0.0,119.55199432373047
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,101.939697265625
0.0,110.93608093261719
0.0,117.26400756835938
0.0,119.16971588134766
0.0,122.5855484008789
0.0,124.68331146240234
0.0,128.2170867919922
0.0,131.51002502441406
0.0,133.53231811523438
0.0,133.6515350341797
0.0,133.72474670410156
0.0,137.13783264160156
0.0,141.47938537597656
0.0,144.14566040039062
184.16587829589844,149.1513214111328
0.0,151.1027069091797
0.0,151.17837524414062
0.0,152.3475799560547
0.0,153.0656280517578
0.0,153.50660705566406
0.0,153.7774200439453
0.0,153.94374084472656
0.0,154.04588317871094
0.0,154.10861206054688
0.0,149.6561737060547
0.0,146.9217987060547
0.0,144.11990356445312
0.0,142.399169921875
0.0,141.3424072265625
0.0,140.69342041015625
0.0,140.29486083984375
0.0,137.654296875
0.0,137.3057098388672
0.0,136.96014404296875
0.0,136.87940979003906
0.0,141.3206787109375
0.0,144.04820251464844
0.0,144.6005096435547
184.16580200195312,149.43064880371094
187.57603454589844,152.39698791503906
0.0,155.3413543701172
0.0,154.90420532226562
0.0,153.5129852294922
0.0,151.53587341308594
0.0,151.44439697265625
0.0,152.51095581054688
0.0,153.16595458984375
0.0,151.32275390625
0.0,150.19076538085938
0.0,150.6183319091797
0.0,148.63543701171875
0.0,147.41766357421875
0.0,146.66981506347656
0.0,146.2105255126953
0.0,143.68307495117188
0.0,138.24267578125
0.0,135.42156982421875
0.0,133.6890411376953
0.0,130.37957763671875
0.0,126.10174560546875
0.0,122.35186004638672
