actual,proposed
0.0,0.07939216494560242
0.0,0.07186180353164673
0.0,0.0662042647600174
0.0,0.06276808679103851
0.0,0.06016478314995766
0.0,0.05806208401918411
0.0,0.05680844932794571
0.0,0.05553612858057022
0.0,0.05371301248669624
0.0,0.05208412557840347
0.0,0.050573837012052536
0.0,0.0
0.0,0.0
0.0,0.05078955367207527
0.0,0.052044954150915146
0.0,0.05284301936626434
0.0,0.05283152312040329
0.0,0.052856285125017166
0.0,0.05292573943734169
0.0,0.05242440104484558
0.0,0.052162304520606995
0.0,0.05149189010262489
0.0,0.050030313432216644
